date,AK_daily_pos,AL_daily_pos,AR_daily_pos,AZ_daily_pos,CA_daily_pos,CO_daily_pos,CT_daily_pos,DC_daily_pos,DE_daily_pos,FL_daily_pos,GA_daily_pos,HI_daily_pos,IA_daily_pos,ID_daily_pos,IL_daily_pos,IN_daily_pos,KS_daily_pos,KY_daily_pos,LA_daily_pos,MA_daily_pos,MD_daily_pos,ME_daily_pos,MI_daily_pos,MN_daily_pos,MO_daily_pos,MS_daily_pos,MT_daily_pos,NC_daily_pos,ND_daily_pos,NE_daily_pos,NH_daily_pos,NJ_daily_pos,NM_daily_pos,NV_daily_pos,NY_daily_pos,OH_daily_pos,OK_daily_pos,OR_daily_pos,PA_daily_pos,RI_daily_pos,SC_daily_pos,SD_daily_pos,TN_daily_pos,TX_daily_pos,UT_daily_pos,VA_daily_pos,VT_daily_pos,WA_daily_pos,WI_daily_pos,WV_daily_pos,WY_daily_pos
3/21/2020,2,43,22,39,216,86,1,6,7,138,87,11,23,8,168,47,11,7,107,112,41,16,804,24,26,60,4,47,8,6,11,437,14,15,536,78,4,1,103,14,71,1,143,110,24,38,8,286,80,4,4
3/22/2020,8,14,47,48,257,112,29,21,11,172,93,11,22,11,296,75,9,45,257,121,54,16,799,22,17,67,11,71,1,10,10,587,1,66,750,104,14,47,108,25,43,7,134,30,45,67,24,284,110,1,1
3/23/2020,1,29,9,113,197,116,192,18,12,341,172,8,15,5,224,58,18,5,335,131,44,18,1240,44,93,42,3,42,2,2,13,930,8,55,753,91,14,30,165,16,103,7,110,18,76,35,21,447,41,4,2
3/24/2020,14,48,44,92,369,129,203,21,23,241,254,21,19,3,262,106,16,20,216,382,61,18,1093,51,1,71,12,101,4,2,23,831,18,33,811,122,25,18,207,19,1,2,52,58,42,36,28,355,59,4,3
3/25/2020,6,68,62,93,253,192,257,46,24,270,221,13,21,23,330,112,28,33,407,679,74,24,1180,58,173,57,7,106,5,9,7,727,17,43,705,140,58,1,276,28,126,11,117,564,47,101,35,406,142,19,15
3/26/2020,17,223,55,127,651,174,137,48,15,673,278,5,34,50,673,168,42,41,510,579,157,6,1140,63,146,108,18,132,13,12,29,2474,12,99,855,163,84,118,560,41,32,5,173,422,56,69,25,371,139,12,9
3/27/2020,10,81,46,159,873,344,279,36,33,410,476,11,56,66,488,336,34,50,441,833,194,13,1324,75,167,94,37,127,13,12,21,1949,24,115,519,270,74,87,531,31,1,12,246,335,78,144,28,376,163,25,17
3/28/2020,16,109,23,137,764,304,1,37,51,998,365,14,63,41,465,251,59,54,569,1007,218,43,1066,47,169,84,21,172,18,11,29,2299,55,86,502,269,55,65,533,64,83,10,170,321,122,135,21,321,165,20,12
3/29/2020,17,110,22,46,1065,327,702,38,18,483,285,31,38,31,1105,282,58,92,225,698,247,42,919,38,1,95,25,105,15,12,27,2262,46,117,754,247,52,69,643,105,235,22,164,500,117,151,22,318,142,17,4
3/30/2020,12,53,47,238,739,566,578,59,32,1227,158,24,88,49,461,272,49,45,485,797,174,22,1579,98,193,89,17,267,11,37,100,3250,1,270,776,280,52,58,693,78,151,11,297,325,87,130,37,405,146,13,8
3/31/2020,5,122,50,132,1035,1,557,94,55,865,1120,29,73,105,937,373,60,41,1212,868,247,28,1291,93,296,90,13,191,17,27,1,2060,44,105,769,266,84,84,756,73,158,7,405,389,81,230,27,311,163,36,15
4/1/2020,14,96,61,124,673,339,429,91,49,617,709,4,52,110,986,406,54,111,1187,1118,325,41,1592,57,254,136,24,86,16,38,101,3559,34,166,831,348,154,46,962,100,210,21,444,731,125,234,39,438,236,29,21
4/2/2020,10,156,59,185,1036,376,267,67,25,1055,710,50,65,144,715,474,70,89,2726,1228,346,32,1130,83,253,104,19,273,17,36,1,3335,48,179,912,355,160,90,1211,62,261,36,162,672,62,222,31,332,219,26,20
4/3/2020,14,199,61,171,1510,386,1090,104,57,1575,483,27,85,222,1209,398,68,90,1147,1436,427,56,1203,63,279,181,16,236,14,33,64,4305,40,56,557,410,109,73,1404,101,1,22,222,661,172,306,70,284,223,20,12
4/4/2020,14,148,39,250,1325,445,362,145,143,1526,329,34,87,122,1453,516,78,61,2199,1334,367,24,1002,39,178,97,22,309,13,42,61,4229,92,228,677,427,171,100,1597,137,363,25,254,780,182,395,52,247,213,45,25
4/5/2020,14,216,87,250,1412,392,399,96,80,1040,487,32,82,64,899,458,49,86,514,765,484,14,877,59,76,183,21,183,21,42,81,3381,48,94,730,304,93,69,1493,182,132,28,312,702,177,230,31,221,167,42,10
4/6/2020,6,172,45,187,898,385,1231,99,1,1173,667,20,78,24,1006,533,98,38,1857,1337,436,29,1327,113,355,100,13,285,18,46,48,3585,81,117,786,407,75,64,1470,206,1,48,169,464,70,241,32,329,223,21,13
4/7/2020,22,151,71,119,1529,222,875,114,255,1423,1504,16,102,69,1287,563,55,53,1417,1365,326,20,1179,102,315,177,20,351,12,38,46,3326,62,134,584,332,145,49,1579,261,368,32,336,986,63,455,33,265,198,67,6
4/8/2020,13,250,54,151,1092,257,1,229,1,708,1083,23,97,40,1529,436,146,141,746,1588,1158,18,1100,102,290,88,13,205,14,72,73,3021,108,231,692,366,52,58,1680,273,135,73,224,1091,108,312,23,284,215,50,5
4/9/2020,9,400,119,292,1352,226,2003,83,279,909,665,25,125,22,1344,408,60,197,1253,2151,656,23,1032,103,212,257,22,225,18,48,1,3590,71,138,588,364,160,82,1989,279,240,54,272,877,130,397,49,287,164,61,9
